Features,History,Result,Time
[1],0,unsat,1.981109380722046
[2],0,unsat,2.2639572620391846
[3],0,unsat,2.2406363487243652
[4],0,unsat,1.9204926490783691
[5],0,unsat,1.9279162883758545
[6],0,unsat,1.6729304790496826
[7],0,unsat,2.61995792388916
[8],0,unsat,1.9474895000457764
[9],0,unsat,1.8564913272857666
[10],0,unsat,2.0831191539764404
[11],0,unsat,2.5106961727142334
[12],0,unsat,2.196013927459717
[13],0,unsat,2.4577138423919678
[14],0,unsat,2.0531153678894043
[15],0,unsat,2.775089740753174
[16],0,unsat,2.3029956817626953
[17],0,unsat,2.017887592315674
[18],0,unsat,2.127074956893921
[19],0,unsat,1.9426803588867188
[20],0,unsat,2.0003626346588135
[21],0,unsat,1.9571950435638428
[22],0,unsat,0.9792087078094482
[23],0,unsat,0.6619167327880859
[0],0,unsat,1.9090180397033691
[1],0,unsat,1.9147398471832275
[2],0,unsat,2.4724178314208984
[3],0,unsat,2.5094549655914307
[4],0,unsat,2.1197922229766846
[5],0,unsat,2.559937000274658
[6],0,unsat,2.138406991958618
[7],0,unsat,2.5955307483673096
[8],0,unsat,2.2002320289611816
[9],0,unsat,2.015552520751953
[10],0,unsat,2.629756450653076
[11],0,unsat,1.6595840454101562
[12],0,unsat,2.312417507171631
[13],0,unsat,2.220264434814453
[14],0,unsat,2.0211939811706543
[15],0,unsat,1.8839211463928223
[16],0,unsat,1.9488165378570557
[17],0,unsat,2.2725369930267334
[18],0,unsat,2.2593588829040527
[19],0,unsat,2.203935384750366
[20],0,unsat,1.8978748321533203
[21],0,unsat,1.641451120376587
[22],0,unsat,0.8702917098999023
[23],0,unsat,0.6604604721069336
[0],0,unsat,2.2486073970794678
[1],0,unsat,2.102137804031372
[2],0,unsat,1.7204854488372803
[3],0,unsat,2.1569700241088867
[4],0,unsat,2.109532356262207
[5],0,unsat,2.5957446098327637
[6],0,unsat,2.316969633102417
[7],0,unsat,1.8940680027008057
[8],0,unsat,2.0974862575531006
[9],0,unsat,2.4107086658477783
[10],0,unsat,2.2253775596618652
[11],0,unsat,2.0275557041168213
[12],0,unsat,2.3692221641540527
[13],0,unsat,1.8992619514465332
[14],0,unsat,1.8160967826843262
[15],0,unsat,2.179586410522461
[16],0,unsat,1.9589855670928955
[17],0,unsat,2.061148166656494
[18],0,unsat,2.299461603164673
[19],0,unsat,2.258582830429077
[20],0,unsat,2.4825687408447266
[21],0,unsat,1.9482548236846924
[22],0,unsat,0.9630622863769531
[23],0,unsat,0.6390671730041504
[0],0,unsat,2.3556101322174072
[1],0,unsat,2.196052312850952
[2],0,unsat,2.410597324371338
[3],0,unsat,2.5222573280334473
[4],0,unsat,2.2766361236572266
[5],0,unsat,2.2137322425842285
[6],0,unsat,2.437136650085449
[7],0,unsat,1.944718837738037
[8],0,unsat,2.4385948181152344
[9],0,unsat,2.7302844524383545
[10],0,unsat,1.964329719543457
[11],0,unsat,1.580625295639038
[12],0,unsat,1.8854191303253174
[13],0,unsat,1.8673365116119385
[14],0,unsat,2.1322011947631836
[15],0,unsat,2.7465248107910156
[16],0,unsat,2.095029830932617
[17],0,unsat,2.6278748512268066
[18],0,unsat,2.2267680168151855
[19],0,unsat,2.600205183029175
[20],0,unsat,2.1785919666290283
[21],0,unsat,1.7898917198181152
[22],0,unsat,0.8955004215240479
[23],0,unsat,0.6597967147827148
[0],0,unsat,2.504782199859619
[1],0,unsat,2.135457754135132
[2],0,unsat,2.7242259979248047
[3],0,unsat,2.4500572681427
[4],0,unsat,2.199024200439453
[5],0,unsat,1.8512623310089111
[6],0,unsat,2.5173709392547607
[7],0,unsat,2.648672103881836
[8],0,unsat,2.7700986862182617
[9],0,unsat,3.038655996322632
[10],0,unsat,2.414308786392212
[11],0,unsat,2.081165313720703
[12],0,unsat,2.3665542602539062
[13],0,unsat,1.9831852912902832
[14],0,unsat,2.432276964187622
[15],0,unsat,2.3895444869995117
[16],0,unsat,1.9918904304504395
[17],0,unsat,2.3726978302001953
[18],0,unsat,2.250699043273926
[19],0,unsat,1.7011220455169678
[20],0,unsat,2.003715991973877
[21],0,unsat,2.4411001205444336
[22],0,unsat,0.8906857967376709
[23],0,unsat,0.6735265254974365
[0],0,unsat,2.3331403732299805
[1],0,unsat,2.2711682319641113
[2],0,unsat,1.9049134254455566
[3],0,unsat,2.1645407676696777
[4],0,unsat,2.4847519397735596
[5],0,unsat,2.5144028663635254
[6],0,unsat,2.3210742473602295
[7],0,unsat,2.6025519371032715
[8],0,unsat,2.3972203731536865
[9],0,unsat,2.3216774463653564
[10],0,unsat,2.395284652709961
[11],0,unsat,2.6138949394226074
[12],0,unsat,1.5868146419525146
[13],0,unsat,2.1406285762786865
[14],0,unsat,2.3772354125976562
[15],0,unsat,1.9543163776397705
[16],0,unsat,2.2076261043548584
[17],0,unsat,2.2272965908050537
[18],0,unsat,1.9533045291900635
[19],0,unsat,2.6501927375793457
