Features,History,Epsilon,Result,Time
[11],10,0.0025,unsat,0.5368814468383789
[11],10,0.005,unsat,0.5116629600524902
[11],10,0.0075,unsat,0.5101537704467773
[11],10,0.01,unsat,0.5190937519073486
[11],10,0.0125,unsat,0.514641284942627
[11],10,0.015,unsat,0.5182511806488037
[11],10,0.0175,unsat,0.5170691013336182
[11],10,0.02,unsat,0.5312235355377197
[11],10,0.0225,unsat,0.5181572437286377
[11],10,0.025,unsat,0.5157043933868408
[11],10,0.0275,unsat,0.5182323455810547
[11],10,0.03,unsat,0.5141279697418213
[11],10,0.0325,unsat,0.5183157920837402
[11],10,0.035,unsat,0.5152492523193359
[11],10,0.0375,unsat,0.5268182754516602
[11],10,0.04,unsat,0.5103096961975098
[11],10,0.0425,unsat,0.5145044326782227
[11],10,0.045,unsat,0.5207648277282715
[11],10,0.0475,unsat,0.5104160308837891
[11],10,0.05,unsat,0.515822172164917
[11],10,0.0025,unsat,0.5091755390167236
[11],10,0.005,unsat,0.523963451385498
[11],10,0.0075,unsat,0.5283160209655762
[11],10,0.01,unsat,0.5103263854980469
[11],10,0.0125,unsat,0.5190432071685791
[11],10,0.015,unsat,0.5132215023040771
[11],10,0.0175,unsat,0.5119349956512451
[11],10,0.02,unsat,0.5085160732269287
[11],10,0.0225,unsat,0.519202709197998
[11],10,0.025,unsat,0.5180518627166748
[11],10,0.0275,unsat,0.5054476261138916
[11],10,0.03,unsat,0.5172522068023682
[11],10,0.0325,unsat,0.5106089115142822
[11],10,0.035,unsat,0.5145466327667236
[11],10,0.0375,unsat,0.5084469318389893
[11],10,0.04,unsat,0.5219929218292236
[11],10,0.0425,unsat,0.5187826156616211
[11],10,0.045,unsat,0.5156736373901367
[11],10,0.0475,unsat,0.5180714130401611
[11],10,0.05,unsat,0.5174660682678223
[11],10,0.0025,unsat,0.5230777263641357
[11],10,0.005,unsat,0.5123589038848877
[11],10,0.0075,unsat,0.5240437984466553
[11],10,0.01,unsat,0.5191071033477783
[11],10,0.0125,unsat,0.5285124778747559
[11],10,0.015,unsat,0.5147387981414795
[11],10,0.0175,unsat,0.5111873149871826
[11],10,0.02,unsat,0.523000955581665
[11],10,0.0225,unsat,0.5103449821472168
[11],10,0.025,unsat,0.5215837955474854
[11],10,0.0275,unsat,0.5173602104187012
[11],10,0.03,unsat,0.5204880237579346
[11],10,0.0325,unsat,0.5142388343811035
[11],10,0.035,unsat,0.512033224105835
[11],10,0.0375,unsat,0.5157158374786377
[11],10,0.04,unsat,0.5146584510803223
[11],10,0.0425,unsat,0.5205378532409668
[11],10,0.045,unsat,0.5162928104400635
[11],10,0.0475,unsat,0.5243892669677734
[11],10,0.05,unsat,0.5283117294311523
[11],10,0.0025,unsat,0.5136525630950928
[11],10,0.005,unsat,0.516843318939209
[11],10,0.0075,unsat,0.5133631229400635
[11],10,0.01,unsat,0.5222563743591309
[11],10,0.0125,unsat,0.5105586051940918
[11],10,0.015,unsat,0.5144085884094238
[11],10,0.0175,unsat,0.5190753936767578
[11],10,0.02,unsat,0.5313150882720947
[11],10,0.0225,unsat,0.5083236694335938
[11],10,0.025,unsat,0.5123195648193359
[11],10,0.0275,unsat,0.5244708061218262
[11],10,0.03,unsat,0.5164167881011963
[11],10,0.0325,unsat,0.5232994556427002
[11],10,0.035,unsat,0.5214269161224365
[11],10,0.0375,unsat,0.5284156799316406
[11],10,0.04,unsat,0.5155801773071289
[11],10,0.0425,unsat,0.5142056941986084
[11],10,0.045,unsat,0.5237362384796143
[11],10,0.0475,unsat,0.5163044929504395
[11],10,0.05,unsat,0.5241236686706543
[11],10,0.0025,unsat,0.5208594799041748
[11],10,0.005,unsat,0.5228545665740967
[11],10,0.0075,unsat,0.5431249141693115
[11],10,0.01,unsat,0.517768144607544
[11],10,0.0125,unsat,0.5241460800170898
[11],10,0.015,unsat,0.5165603160858154
[11],10,0.0175,unsat,0.5278887748718262
[11],10,0.02,unsat,0.5231454372406006
[11],10,0.0225,unsat,0.5279073715209961
[11],10,0.025,unsat,0.5355205535888672
[11],10,0.0275,unsat,0.5244526863098145
[11],10,0.03,unsat,0.5364158153533936
[11],10,0.0325,unsat,0.5232644081115723
[11],10,0.035,unsat,0.5328311920166016
[11],10,0.0375,unsat,0.5300521850585938
[11],10,0.04,unsat,0.5301699638366699
[11],10,0.0425,unsat,0.5345089435577393
[11],10,0.045,unsat,0.540316104888916
[11],10,0.0475,unsat,0.528937578201294
[11],10,0.05,unsat,0.529944896697998
[11],10,0.0025,unsat,0.536360502243042
[11],10,0.005,unsat,0.5293896198272705
[11],10,0.0075,unsat,0.5374155044555664
[11],10,0.01,unsat,0.5318191051483154
[11],10,0.0125,unsat,0.5384578704833984
[11],10,0.015,unsat,0.5547258853912354
[11],10,0.0175,unsat,0.5342323780059814
[11],10,0.02,unsat,0.533653736114502
[11],10,0.0225,unsat,0.5325603485107422
[11],10,0.025,unsat,0.538445234298706
[11],10,0.0275,unsat,0.5321953296661377
[11],10,0.03,unsat,0.5383923053741455
[11],10,0.0325,unsat,0.5447912216186523
[11],10,0.035,unsat,0.530632734298706
[11],10,0.0375,unsat,0.5339281558990479
[11],10,0.04,unsat,0.5335757732391357
[11],10,0.0425,unsat,0.5395028591156006
[11],10,0.045,unsat,0.5352344512939453
[11],10,0.0475,unsat,0.5440430641174316
[11],10,0.05,unsat,0.539865255355835
[11],10,0.0025,unsat,0.5408546924591064
[11],10,0.005,unsat,0.5354158878326416
[11],10,0.0075,unsat,0.5347585678100586
[11],10,0.01,unsat,0.5329058170318604
[11],10,0.0125,unsat,0.5394902229309082
[11],10,0.015,unsat,0.5389585494995117
[11],10,0.0175,unsat,0.5395758152008057
